tempo,referencia,velocidade,pwm,erro
3.89,1,5.81349,-96.2697,-4.81349
3.9,1,5.86863,-97.3725,-4.86863
3.91,1,5.92155,-98.431,-4.92155
3.92,1,5.96769,-99.3537,-4.96769
3.93,1,5.97723,-99.5446,-4.97723
3.94,1,5.98582,-99.7163,-4.98582
3.95,1,5.96617,-99.3233,-4.96617
3.96,1,5.95628,-99.1257,-4.95628
3.97,1,5.91331,-98.2662,-4.91331
3.98,1,5.84896,-96.9792,-4.84896
3.99,1,5.79364,-95.8728,-4.79364
4,1,5.71208,-94.2415,-4.71208
4.01,1,5.61699,-92.3398,-4.61699
4.02,1,5.50194,-90.0387,-4.50194
4.03,1,5.36421,-87.2842,-4.36421
4.04,1,5.1897,-83.794,-4.1897
4.05,1,5.00886,-80.1772,-4.00886
4.06,1,4.81213,-76.2426,-3.81213
4.07,1,4.6045,-72.0899,-3.6045
4.08,1,4.36657,-67.3314,-3.36657
4.09,1,4.12416,-62.4831,-3.12416
4.1,1,3.84593,-56.9186,-2.84593
4.11,1,3.57075,-51.4149,-2.57075
4.12,1,3.26753,-45.3506,-2.26753
4.13,1,2.96835,-39.3671,-1.96835
4.14,1,2.67552,-33.5103,-1.67552
4.15,1,2.38059,-27.6118,-1.38059
4.16,1,2.0609,-21.2179,-1.0609
4.17,1,1.71552,-14.3103,-0.715517
4.18,1,1.3791,-7.58197,-0.379099
4.19,1,1.01687,-0.337329,-0.0168664
4.2,1,0.632402,7.35196,0.367598
4.21,1,0.263206,14.7359,0.736794
4.22,1,-0.120426,22.4085,1.12043
4.23,1,-0.52035,30.407,1.52035
4.24,1,-0.912859,38.2572,1.91286
4.25,1,-1.31757,46.3515,2.31757
4.26,1,-1.71829,54.3659,2.71829
4.27,1,-2.1315,62.63,3.1315
4.28,1,-2.52816,70.5632,3.52816
4.29,1,-2.93731,78.7462,3.93731
4.3,1,-3.33772,86.7545,4.33772
4.31,1,-3.72197,94.4395,4.72197
4.32,1,-4.09618,101.924,5.09618
4.33,1,-4.49461,109.892,5.49461
4.34,1,-4.87829,117.566,5.87829
4.35,1,-5.24697,124.939,6.24697
4.36,1,-5.58088,131.618,6.58088
4.37001,1,-5.90788,138.158,6.90788
4.38001,1,-6.23306,144.661,7.23306
4.39001,1,-6.52852,150.57,7.52852
4.40001,1,-6.82151,156.43,7.82151
4.41001,1,-7.08281,161.656,8.08281
4.42001,1,-7.32257,166.451,8.32257
4.43001,1,-7.56543,171.309,8.56544
4.44001,1,-7.78011,175.602,8.78011
4.45001,1,-7.95115,179.023,8.95115
4.46001,1,-8.10268,182.054,9.10268
4.47001,1,-8.23915,184.783,9.23915
4.48001,1,-8.3319,186.638,9.3319
4.49001,1,-8.41558,188.312,9.41558
4.50001,1,-8.46231,189.246,9.46231
4.51001,1,-8.48199,189.64,9.48199
4.52001,1,-8.46272,189.254,9.46272
4.53001,1,-8.41731,188.346,9.41731
4.54001,1,-8.32068,186.414,9.32068
4.55001,1,-8.21153,184.231,9.21153
4.56001,1,-8.05814,181.163,9.05814
4.57001,1,-7.86824,177.365,8.86824
4.58001,1,-7.66695,173.339,8.66695
4.59001,1,-7.43273,168.655,8.43273
4.60001,1,-7.1389,162.778,8.1389
4.61001,1,-6.8108,156.216,7.8108
4.62001,1,-6.46336,149.267,7.46336
4.63001,1,-6.06822,141.364,7.06822
4.64001,1,-5.65494,133.099,6.65494
4.65001,1,-5.20046,124.009,6.20046
4.66001,1,-4.73747,114.749,5.73747
4.67001,1,-4.26532,105.306,5.26532
4.68001,1,-3.75656,95.1311,4.75656
4.69001,1,-3.21003,84.2007,4.21003
4.70001,1,-2.64253,72.8506,3.64253
4.71001,1,-2.04724,60.9449,3.04724
4.72001,1,-1.43045,48.609,2.43045
4.73001,1,-0.789507,35.7901,1.78951
4.74001,1,-0.127323,22.5465,1.12732
4.75001,1,0.553476,8.93048,0.446524
4.76001,1,1.27941,-5.58813,-0.279406
4.77001,1,2.01048,-20.2095,-1.01048
4.78001,1,2.75317,-35.0635,-1.75317
4.79001,1,3.50413,-50.0827,-2.50413
4.80001,1,4.26753,-65.3506,-3.26753
4.81002,1,5.03022,-80.6044,-4.03022
4.82002,1,5.80378,-96.0756,-4.80378
4.83002,1,6.58661,-111.732,-5.58661
4.84002,1,7.37229,-127.446,-6.37229
4.85002,1,8.13896,-142.779,-7.13896
4.86002,1,8.9101,-158.202,-7.9101
4.87002,1,9.66178,-173.236,-8.66178
4.88002,1,10.422,-188.44,-9.42202
4.89002,1,11.1621,-203.242,-10.1621
4.90002,1,11.8785,-217.57,-10.8785
4.91002,1,12.579,-231.579,-11.579
4.92002,1,13.2634,-245.268,-12.2634
4.93002,1,13.9133,-255,-12.9133
4.94002,1,14.5252,-255,-13.5252
4.95002,1,15.1272,-255,-14.1272
4.96002,1,15.6969,-255,-14.6969
4.97002,1,16.2125,-255,-15.2125
